student_id,question_id,answer_correct,time_taken,attempts,hint_used
S1,Q1,1,12,1,0
S1,Q2,1,15,1,0
S1,Q3,0,28,2,1
S1,Q4,1,14,1,0
S1,Q5,1,13,1,0
S1,Q6,1,16,1,0
S1,Q7,0,30,2,1
S1,Q8,1,14,1,0
S1,Q9,1,15,1,0
S1,Q10,1,12,1,0

S2,Q1,0,35,3,1
S2,Q2,1,22,2,0
S2,Q3,0,40,3,1
S2,Q4,1,20,2,0
S2,Q5,0,38,3,1
S2,Q6,1,24,2,0
S2,Q7,0,42,3,1
S2,Q8,1,23,2,0
S2,Q9,0,39,3,1
S2,Q10,1,21,2,0

S3,Q1,1,10,1,0
S3,Q2,1,12,1,0
S3,Q3,1,14,1,0
S3,Q4,1,13,1,0
S3,Q5,1,11,1,0
S3,Q6,1,12,1,0
S3,Q7,1,13,1,0
S3,Q8,1,11,1,0
S3,Q9,1,12,1,0
S3,Q10,1,10,1,0

S4,Q1,0,45,3,1
S4,Q2,0,50,3,1
S4,Q3,1,30,2,0
S4,Q4,0,42,3,1
S4,Q5,0,48,3,1
S4,Q6,0,46,3,1
S4,Q7,1,32,2,0
S4,Q8,0,44,3,1
S4,Q9,0,49,3,1
S4,Q10,0,47,3,1

S5,Q1,1,18,1,0
S5,Q2,0,26,2,1
S5,Q3,1,20,1,0
S5,Q4,0,32,2,1
S5,Q5,1,19,1,0
S5,Q6,1,21,1,0
S5,Q7,0,34,2,1
S5,Q8,1,20,1,0
S5,Q9,0,31,2,1
S5,Q10,1,18,1,0

S6,Q1,0,40,3,1
S6,Q2,0,42,3,1
S6,Q3,0,38,3,1
S6,Q4,1,25,2,0
S6,Q5,0,41,3,1
S6,Q6,0,39,3,1
S6,Q7,1,27,2,0
S6,Q8,0,43,3,1
S6,Q9,0,40,3,1
S6,Q10,0,44,3,1

S7,Q1,1,14,1,0
S7,Q2,1,16,1,0
S7,Q3,1,18,1,0
S7,Q4,1,15,1,0
S7,Q5,1,17,1,0
S7,Q6,1,16,1,0
S7,Q7,1,18,1,0
S7,Q8,1,15,1,0
S7,Q9,1,16,1,0
S7,Q10,1,14,1,0

S8,Q1,0,33,2,1
S8,Q2,1,24,2,0
S8,Q3,0,36,3,1
S8,Q4,1,22,2,0
S8,Q5,0,35,3,1
S8,Q6,1,23,2,0
S8,Q7,0,37,3,1
S8,Q8,1,24,2,0
S8,Q9,0,34,3,1
S8,Q10,1,22,2,0

S9,Q1,1,20,1,0
S9,Q2,1,22,1,0
S9,Q3,0,30,2,1
S9,Q4,1,21,1,0
S9,Q5,1,19,1,0
S9,Q6,1,23,1,0
S9,Q7,0,31,2,1
S9,Q8,1,22,1,0
S9,Q9,1,20,1,0
S9,Q10,1,19,1,0

S10,Q1,0,48,3,1
S10,Q2,0,46,3,1
S10,Q3,0,50,3,1
S10,Q4,1,34,2,0
S10,Q5,0,49,3,1
S10,Q6,0,47,3,1
S10,Q7,1,36,2,0
S10,Q8,0,48,3,1
S10,Q9,0,50,3,1
S10,Q10,0,49,3,1
